Date;Close0;Close1;Close2;i0;i1
07.07.2009;1.3923;1.3983;1.39552;1.39691;1.39714
08.07.2009;1.3882;1.3923;1.3983;1.3953;1.39537333
09.07.2009;1.4019;1.3882;1.3923;1.39025;1.39293333
10.07.2009;1.3948;1.4019;1.3882;1.39505;1.39413333
12.07.2009;1.39647;1.3948;1.4019;1.39835;1.39496667
13.07.2009;1.3977;1.39647;1.3948;1.395635;1.39772333
14.07.2009;1.3966;1.3977;1.39647;1.397085;1.39632333
15.07.2009;1.4107;1.3966;1.3977;1.39715;1.39692333
16.07.2009;1.4148;1.4107;1.3966;1.40365;1.40166667
17.07.2009;1.41;1.4148;1.4107;1.41275;1.40736667
19.07.2009;1.41244;1.41;1.4148;1.4124;1.41183333
20.07.2009;1.4231;1.41244;1.41;1.41122;1.41241333
21.07.2009;1.4224;1.4231;1.41244;1.41777;1.41518
22.07.2009;1.4219;1.4224;1.4231;1.42275;1.41931333
23.07.2009;1.4141;1.4219;1.4224;1.42215;1.42246667
24.07.2009;1.4214;1.4141;1.4219;1.418;1.41946667
26.07.2009;1.4216;1.4214;1.4141;1.41775;1.41913333
27.07.2009;1.4234;1.4216;1.4214;1.4215;1.41903333
28.07.2009;1.4166;1.4234;1.4216;1.4225;1.42213333
29.07.2009;1.4049;1.4166;1.4234;1.42;1.42053333
30.07.2009;1.4073;1.4049;1.4166;1.41075;1.41496667
31.07.2009;1.4251;1.4073;1.4049;1.4061;1.4096
02.08.2009;1.42503;1.4251;1.4073;1.4162;1.41243333
03.08.2009;1.4411;1.42503;1.4251;1.425065;1.41914333
04.08.2009;1.4407;1.4411;1.42503;1.433065;1.43041
05.08.2009;1.4403;1.4407;1.4411;1.4409;1.43561
06.08.2009;1.4346;1.4403;1.4407;1.4405;1.4407
07.08.2009;1.417;1.4346;1.4403;1.43745;1.43853333
09.08.2009;1.41921;1.417;1.4346;1.4258;1.43063333
10.08.2009;1.414;1.41921;1.417;1.418105;1.42360333
11.08.2009;1.415;1.414;1.41921;1.416605;1.41673667
12.08.2009;1.4189;1.415;1.414;1.4145;1.41607
13.08.2009;1.4292;1.4189;1.415;1.41695;1.41596667
14.08.2009;1.4189;1.4292;1.4189;1.42405;1.42103333
16.08.2009;1.41877;1.4189;1.4292;1.42405;1.42233333
17.08.2009;1.4082;1.41877;1.4189;1.418835;1.42229
18.08.2009;1.4134;1.4082;1.41877;1.413485;1.41529
19.08.2009;1.4223;1.4134;1.4082;1.4108;1.41345667
20.08.2009;1.4253;1.4223;1.4134;1.41785;1.41463333
21.08.2009;1.4335;1.4253;1.4223;1.4238;1.42033333
23.08.2009;1.43363;1.4335;1.4253;1.4294;1.42703333
24.08.2009;1.4303;1.43363;1.4335;1.433565;1.43081
25.08.2009;1.4297;1.4303;1.43363;1.431965;1.43247667
26.08.2009;1.4254;1.4297;1.4303;1.43;1.43121
27.08.2009;1.4342;1.4254;1.4297;1.42755;1.42846667
